customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
C2143;Female;0;No;Yes;21;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Mailed check;64,85;1336.8;0
C1624;Female;0;No;No;54;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);97,2;5129.45;0
C6075;Male;0;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;23,45;23.45;1
C1363;Male;0;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,2;237.95;1
C6755;Male;0;No;Yes;0;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Bank transfer (automatic);61,9; ;0
C1213;Male;0;No;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,55;521.35;0
C2723;Male;0;Yes;Yes;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;18,95;613.95;0
C4007;Male;0;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);19,8;1414.65;0
C6792;Male;0;No;No;19;No;No phone service;DSL;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;39,65;733.35;1
C5467;Male;0;No;Yes;10;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19,95;219.5;0
C5853;Male;1;Yes;No;21;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,1;1474.75;1
C4196;Female;1;No;No;45;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;70,05;3062.45;0
C4167;Male;1;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19,8;587.7;0
C5235;Female;0;Yes;No;40;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;No;Bank transfer (automatic);105,75;4228.55;0
C3415;Female;0;No;No;47;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;No;Mailed check;41,9;1875.25;0
C1804;Female;0;No;No;36;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Mailed check;53,1;1901.25;0
C6204;Female;0;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;No;One year;Yes;Credit card (automatic);105,1;7234.8;0
C5286;Female;0;Yes;No;71;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);80,7;5705.05;0
